p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.36650616785806e-41	0.709011070377173	0.294	0.09	6.19410494182011e-40	Astrocyte	SPP1
1.46900810178993e-41	0.384007737298878	0.253	0.072	6.6236802147549e-40	Astrocyte	MTMR10
3.4897567804449e-41	0.61845239100743	0.861	0.681	1.56527467738594e-39	Astrocyte	FHIT
4.43781999199733e-41	-0.564481198191407	0.489	0.857	1.98014603497089e-39	Astrocyte	PRKCB
5.05643807743323e-41	0.730076434463562	0.706	0.473	2.24448212483785e-39	Astrocyte	ZHX3
1.07988975288791e-40	-0.57104030836071	0.448	0.768	4.76877088298492e-39	Astrocyte	NELL2
1.46336810379274e-40	0.729015041833236	0.749	0.512	6.42906386932942e-39	Astrocyte	MGST1
1.5939874532689e-40	0.571934942795114	0.653	0.39	6.96718903681362e-39	Astrocyte	CHKA
2.04077026737328e-40	0.359536741584671	0.266	0.079	8.8747608530898e-39	Astrocyte	PHKG1
2.05155816266239e-40	-0.442833900837754	0.843	0.973	8.87661554521652e-39	Astrocyte	PLCB1
6.5076372474293e-40	0.343004981817539	0.172	0.037	2.80155418586567e-38	Astrocyte	PPP1R14A
9.21872491288732e-40	0.544518328778242	0.392	0.16	3.94884081643528e-38	Astrocyte	SLC18B1
2.56551409798877e-39	0.312949098354769	0.213	0.055	1.09347061081939e-37	Astrocyte	MID1IP1
2.72277024575588e-39	-0.594672324027188	0.468	0.798	1.15475112353419e-37	Astrocyte	LDB2
3.03497086306716e-39	0.321472565972397	0.19	0.045	1.28081750659588e-37	Astrocyte	DDR1
3.25116139178758e-39	-0.533331208951919	0.468	0.794	1.36532841389432e-37	Astrocyte	FBXW7
3.74665291567242e-39	0.488005011723347	0.329	0.118	1.56573539163735e-37	Astrocyte	RASSF8
4.8816825911845e-39	-0.478143870141543	0.499	0.818	2.03016382323678e-37	Astrocyte	NSF
6.30028670850918e-39	0.568498946627939	0.405	0.17	2.60746648462793e-37	Astrocyte	EGLN3
8.31605235383458e-39	0.591178257918075	0.471	0.217	3.42517406323562e-37	Astrocyte	SRGAP1
9.00959156040709e-39	0.267285446843935	0.152	0.03	3.6930703778951e-37	Astrocyte	AC011043.1
1.09001778599507e-38	0.634381730219785	0.484	0.228	4.44675351077133e-37	Astrocyte	MT3
1.23504479776283e-38	-0.494096784046336	0.365	0.692	5.0145160106323e-37	Astrocyte	ICA1
1.30496610099163e-38	0.458604798453771	0.311	0.108	5.27341725811099e-37	Astrocyte	TULP3
